0 0 200 0    1a 3 10 75.9211    1b 3 8 68.652
0 22.3986 201.889 0    1a 5 9.83655 70.19    1b 3 7.99504 67.9304
0 22.4811 201.937 0    1a 5 9.83241 -0.0285337    1b 3 7.99492 67.9424
0 22.5169 828.472 0    1a 6 2.53742 0.290165    1b 3 15.2881 438.737
0 22.5346 828.515 0    1a 6 2.53652 -0.531653    1b 3 15.288 438.78
0 23.1466 1056.2 0    1a 7 2.16877 47.4584    1b 3 15.6209 576.486
0 26.5938 1060.37 0    1a 10 2.16876 240.845    1b 3 15.5509 576.427
0 26.8933 1061.62 0    1a 11 2.16876 134.387    1b 3 15.53 576.682
0 27.2259 1123.78 0    1a 14 1.21886 216.555    1b 3 15.501 661.912
0 29.6254 1161.68 0    1a 14 1.21886 226.236    1b 5 14.9555 676.117
0 29.6503 1162.43 0    1a 14 1.21886 226.429    1b 6 14.945 193.64
0 29.8134 1167.65 0    1a 14 1.21886 227.771    1b 7 14.8727 153.765
0 30.9121 1219.31 0    1a 14 1.21886 241.153    1b 8 14.1909 179.887
0 31.3944 1254.77 0    1a 14 1.21886 250.445    1b 8 13.7555 -1.58141e-05
0 31.3944 29.9634 0    1a 14 1.21943 8.16491    1b 11 4.5501 12.2038
0 31.9002 0 1    1a 14 1.21915 0.00530597    1b 17 1.33514 1.97288e-05
0 9931.9 0 1    1a 14 1.21915 0.00530597    1b 18 1.33514 1.97288e-05
0 0 138 0    1a 3 13.1 51.4107    1b 3 9.8 45.1525
0 14.1921 140.432 0    1a 5 12.7088 44.151    1b 3 9.79461 44.7204
0 14.2129 140.457 0    1a 5 12.7049 -0.0305091    1b 3 9.79456 44.7284
0 14.2231 496.282 0    1a 10 3.09551 118.245    1b 3 18.5405 259.61
0 15.9175 526.997 0    1a 11 2.24112 4.8963    1b 3 18.5636 289.409
0 16.1058 554.215 0.0457548    1a 16 1.26519 102.377    1b 3 18.5593 329.246
0 19.9596 585.463 0.0457548    1a 17 1.26519 110.052    1b 5 17.5012 337.125
0 19.971 584.544 0    1a 16 1.26519 109.898    1b 5 17.4914 -0.000264992
0 19.971 10.3526 0    1a 16 1.2652 2.73992    1b 10 5.27099 4.40881
0 20.7578 13.6828 0    1a 17 1.26519 3.98628    1b 11 3.68016 3.21572
0 20.8452 126.593 0.890223    1a 17 1.26519 47.5812    1b 17 1.31077 48.3569
0 9920.85 126.593 0.890223    1a 18 1.26519 47.5812    1b 18 1.31077 48.3569
0 0 100 0    1a 3 2.25 36.8277    1b 3 2.12 35.8464
0 570.654 100 0    1a 5 2.25 35.2918    1b 3 2.12 34.8678
0 583.69 100.518 0    1a 6 2.2275 32.7281    1b 3 2.12 35.0997
0 0 120 0    1a 3 2.25 44.5093    1b 3 2.12 43.322
0 570.654 120 0    1a 5 2.25 42.9734    1b 3 2.12 42.3434
0 583.69 120.621 0    1a 6 2.2275 40.432    1b 3 2.12 42.6314
0 0 110 0    1a 3 2.25 40.6685    1b 3 2.12 39.5842
0 570.654 110 0    1a 5 2.25 39.1326    1b 3 2.12 38.6056
0 583.69 110.569 0    1a 6 2.2275 36.5801    1b 3 2.12 38.8656
0 0 110 0    1a 3 2.25 40.6685    1b 3 2.12 39.5842
0 570.654 110 0    1a 5 2.25 39.1326    1b 3 2.12 38.6056
0 583.69 110.569 0    1a 6 2.2275 36.5801    1b 3 2.12 38.8656
0 663.128 111.149 0    1a 6 2.20484 -2.54596e-07    1b 3 2.12 38.8231
0 663.128 155.86 0    1a 13 0.352819 36.2991    1b 3 2.32484 81.8994
0 717.878 155.86 0    1a 13 0.352819 36.2993    1b 5 2.32484 81.6228
0 729.69 157.226 0    1a 13 0.352819 36.7216    1b 6 2.30159 79.2491
0 784.388 158.621 0    1a 13 0.352819 37.1549    1b 7 2.27823 71.6814
0 864.497 163.762 0    1a 13 0.352819 38.7617    1b 8 2.19563 73.0483
0 886.509 262.7 0    1a 13 0.352819 72.8326    1b 8 1.23584 -1.17314e-06
0 886.509 20.2232 0    1a 13 0.352881 7.03687    1b 12 0.500179 8.26452
0 9887.34 20.2232 0    1a 13 0.352881 7.04444    1b 12 0.500179 8.26761
0 0 110 0    1a 3 2.3 42.7071    1b 3 1.75 37.7102
0 536.789 110 0    1a 5 2.3 41.139    1b 3 1.75 37.3991
0 548.989 110.628 0    1a 6 2.277 38.415    1b 3 1.75 37.7075
0 0 105 0    1a 3 2.3 40.6931    1b 3 1.75 35.9326
0 536.789 105 0    1a 5 2.3 39.1251    1b 3 1.75 35.6215
0 548.989 105.6 0    1a 6 2.277 36.394    1b 3 1.75 35.9155
0 0 105 0    1a 3 2.3 40.6931    1b 3 1.75 35.9326
0 536.789 105 0    1a 5 2.3 39.1251    1b 3 1.75 35.6215
0 548.989 105.6 0    1a 6 2.277 36.394    1b 3 1.75 35.9155
0 623.378 106.067 0    1a 6 2.25927 -2.00952e-08    1b 3 1.75 36.0934
0 623.378 64.382 0    1a 12 0.38981 16.5632    1b 3 1.79399 31.2907
0 1175.68 64.382 0    1a 12 0.38981 16.5644    1b 5 1.79399 30.4048
0 1202.14 64.9153 0    1a 12 0.38981 16.748    1b 6 1.77605 29.4277
0 1360.12 67.0263 0    1a 12 0.38981 17.48    1b 6 1.70784 -8.50279e-08
0 1360.12 1.64234 0    1a 12 0.389884 0.627797    1b 13 0.331862 0.573569
0 9466.12 1.2259 0    1a 12 0.389884 0.468317    1b 13 0.331862 0.42893
0 0 105 0    1a 3 2.3 40.6931    1b 3 1.75 35.9326
0 536.789 105 0    1a 5 2.3 39.1251    1b 3 1.75 35.6215
0 548.989 105.6 0    1a 6 2.277 36.394    1b 3 1.75 35.9155
0 623.378 106.067 0    1a 6 2.25927 -2.00952e-08    1b 3 1.75 36.0934
0 623.378 64.382 0    1a 10 0.38981 16.5043    1b 3 1.79399 31.2907
0 954.78 64.382 0    1a 9 0.38981 16.5667    1b 3 1.79399 30.8769
0 991.603 64.382 0    1a 12 0.38981 16.5632    1b 3 1.79399 30.8131
0 1175.68 64.382 0    1a 12 0.38981 16.5637    1b 5 1.79399 30.4048
0 1202.14 64.9153 0    1a 12 0.38981 16.7473    1b 6 1.77605 29.4277
0 1360.12 67.0263 0    1a 12 0.38981 17.4793    1b 6 1.70784 -8.50301e-08
0 1360.12 1.64234 0    1a 12 0.389884 0.627151    1b 13 0.331862 0.573569
0 9466.12 1.2259 0    1a 12 0.389884 0.46823    1b 13 0.331862 0.42893
0 0 105 0    1a 3 2.29 40.6566    1b 3 1.75 35.9713
0 543.311 105 0    1a 5 2.29 39.095    1b 3 1.75 35.6554
0 555.672 105.599 0    1a 6 2.2671 36.405    1b 3 1.75 35.949
0 631.03 106.092 0    1a 6 2.24841 -3.0506e-08    1b 3 1.75 36.1395
0 631.03 65.7533 0    1a 13 0.353234 16.4547    1b 3 1.7948 32.5497
0 1175.91 65.7533 0    1a 13 0.353234 16.4566    1b 5 1.7948 31.6695
0 1202.33 66.3074 0    1a 13 0.353234 16.6417    1b 6 1.77686 30.7049
0 1360.54 68.5429 0    1a 13 0.353234 17.3947    1b 6 1.70738 -3.12823e-08
0 1360.54 1.58002 0    1a 13 0.353295 0.583328    1b 13 0.334711 0.565751
0 9466.09 1.16812 0    1a 13 0.353295 0.431439    1b 13 0.334711 0.418833
0 0 105 0    1a 3 2.15 40.1277    1b 3 1.75 36.5336
0 648.983 105 0    1a 5 2.15 38.6558    1b 3 1.75 36.1329
0 663.955 105.582 0    1a 6 2.1285 36.5013    1b 3 1.75 36.4205
0 754.981 106.485 0    1a 6 2.09562 -2.58709e-07    1b 3 1.75 36.8018
0 754.981 88.0766 0    1a 13 0.351014 21.9673    1b 3 1.8078 44.1922
0 1183.38 88.0766 0    1a 13 0.351014 21.9687    1b 5 1.8078 43.4149
0 1209.19 88.8204 0    1a 13 0.351014 22.2163    1b 6 1.78972 42.4972
0 1366.55 92.1207 0    1a 13 0.351014 23.3238    1b 6 1.71302 -6.02427e-09
0 1366.55 2.275 0    1a 13 0.351075 0.835493    1b 13 0.357326 0.84314
0 9469.28 2.1661 0    1a 13 0.351075 0.800617    1b 13 0.357326 0.807765
0 0 30 0    1a 3 2.4 10.2067    1b 3 2 9.41071
0 477.691 30 0    1a 5 2.4 8.57407    1b 3 2 8.90612
0 488.43 30.1645 0    1a 6 2.376 5.29588    1b 3 2 8.97427
0 527.407 30.1816 0    1a 6 2.37353 -9.56042e-09    1b 3 2 8.91521
0 527.407 27.2116 0    1a 10 0.343406 6.46606    1b 3 2.03591 12.4892
0 795.903 27.2116 0    1a 10 0.343406 6.46606    1b 5 2.03591 11.6664
0 813.618 27.4464 0    1a 10 0.343406 6.54102    1b 6 2.01555 9.8705
0 902.055 27.5873 0    1a 10 0.343406 6.5861    1b 6 2.00351 -1.17425e-08
0 902.055 0.367591 0    1a 10 0.378463 0.0820502    1b 13 0.277936 0.0939188
0 940.872 0.149222 0    1a 10 0.378463 -0.0147817    1b 13 0.277936 0.0171247
0 941.198 0 0    1a 9 0.65929 0.0280272    1b 13 0 0.03548
0 941.198 0 0    1a 12 0.65929 0.0128313    1b 13 0 0.03548
0 9177.14 0 0    1a 12 0.65929 0.0128313    1b 13 0 0.03548
